2887628,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,34,Flinders St-Spark La,300
2887629,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,39,Alfred Place,604
2887630,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,37,Lygon St (East),216
2887631,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,40,Lonsdale St-Spring St (West),627
2887632,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,36,Queen St (West),774
2887633,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,29,St Kilda Rd-Alexandra Gardens,644
2887634,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,42,Grattan St-Swanston St (West),453
2887635,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,43,Monash Rd-Swanston St (West),387
2887636,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,44,Tin Alley-Swanston St (West),27
2887628,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,34,Flinders St-Spark La,300
2887629,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,39,Alfred Place,604
2887630,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,37,Lygon St (East),216
2887631,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,40,Lonsdale St-Spring St (West),627
2887632,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,36,Queen St (West),774
2887633,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,29,St Kilda Rd-Alexandra Gardens,644
2887634,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,42,Grattan St-Swanston St (West),453
2887635,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,43,Monash Rd-Swanston St (West),387
2887636,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,44,Tin Alley-Swanston St (West),27
2887628,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,34,Flinders St-Spark La,300
2887629,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,39,Alfred Place,604
2887630,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,37,Lygon St (East),216
2887631,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,40,Lonsdale St-Spring St (West),627
2887632,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,36,Queen St (West),774
2887633,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,29,St Kilda Rd-Alexandra Gardens,644
2887634,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,42,Grattan St-Swanston St (West),453
2887635,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,43,Monash Rd-Swanston St (West),387
2887636,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,44,Tin Alley-Swanston St (West),27
2887628,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,34,Flinders St-Spark La,300
2887629,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,39,Alfred Place,604
2887630,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,37,Lygon St (East),216
2887631,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,40,Lonsdale St-Spring St (West),627
2887632,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,36,Queen St (West),774
2887633,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,29,St Kilda Rd-Alexandra Gardens,644
2887634,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,42,Grattan St-Swanston St (West),453
2887635,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,43,Monash Rd-Swanston St (West),387
2887636,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,44,Tin Alley-Swanston St (West),27
2887628,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,34,Flinders St-Spark La,300
2887629,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,39,Alfred Place,604
2887630,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,37,Lygon St (East),216
2887631,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,40,Lonsdale St-Spring St (West),627
2887632,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,36,Queen St (West),774
2887633,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,29,St Kilda Rd-Alexandra Gardens,644
2887634,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,42,Grattan St-Swanston St (West),453
2887635,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,43,Monash Rd-Swanston St (West),387
2887636,11/01/2019 05:00:00 PM,2019,November,1,Friday,17,44,Tin Alley-Swanston St (West),27